other_description,action
REPEL SUBJECTS ATTEMPTS TOFLEE,Other description
REPOSITION SUBJECT'S BODY,Other description
REPOSITION TACTICAL APPROACH,Other description
REPOSITIONED,Other description
REPOSITIONED R/O'S BODY ,Other description
REPOSITIONED SUBJECT,Other description
REPOSITIONING TO AVOID CONTACT,Other description
REQUEST ASSIST CARS,Verbal direction/control techniques
REQUEST ASSISTANCE,Verbal direction/control techniques
REQUESTED ASSIST UNIT,Verbal direction/control techniques
REQUESTED ASSIST VIA OEMC,Verbal direction/control techniques
REQUESTED ASSIST VIA OMEC,Verbal direction/control techniques
REQUESTED ASSISTANCE,Verbal direction/control techniques
REQUESTED ASSISTANCE ,Verbal direction/control techniques
REQUESTED BACK UP UNITS,Verbal direction/control techniques
REQUESTED BACK-UP,Verbal direction/control techniques
REQUESTED WAGON FOR TRANSPORT,Verbal direction/control techniques
REQUIRED ASSISTANCE TO EFFECT ,Other description
REQUIRED LEG-IRONS,Other description
RESECURED IN CELL,Other description
RESECURED PRISONER IN CELL,Other description
RESISTED ARREST,Other description
RESRAIN ARMS AND FEET,Other description
RESTAINED AGAINST WALL,Other description
RESTAINT ARMS,Other description
RESTRAIN,Other description
RESTRAIN @ SEPARATE OFFENDERS,Other description
RESTRAIN & SEPARATE OFFENDERS,Other description
RESTRAIN AGAINST WINDOW,Other description
RESTRAIN ARM AND LEG,Other description
RESTRAIN ARMS AND FEET,Other description
RESTRAIN ARMS/LEGS,Other description
RESTRAIN IN CLOSE QUARTERS,Other description
RESTRAIN LEGS,Other description
RESTRAIN OFFENDER,Other description
RESTRAIN OFFENDER ,Other description
RESTRAIN ON THE FLOOR,Other description
RESTRAIN PRISONER,Other description
RESTRAIN RIGHT ARM,Other description
RESTRAIN STILL COMBATIVE SUBJE,Other description
RESTRAIN SUBJECT WITH HANDS,Other description
RESTRAINED,Other description
RESTRAINED ACTIVE RESISTER LEG,Other description
RESTRAINED AGAINST GROUND,Other description
RESTRAINED AGAINST VEHICLE,Other description
RESTRAINED AGAINST WALL,Other description
RESTRAINED AGAINT THE WALL,Other description
RESTRAINED ARM,Other description
RESTRAINED ARMS,Other description
RESTRAINED ARMS ,Other description
RESTRAINED ARMS AND LEGS,Other description
RESTRAINED ARMS/ LEGS,Other description
RESTRAINED ARMS/LEGS,Other description
RESTRAINED AROUND SHOULDERS,Other description
RESTRAINED ARRESTEE'S LEG,Other description
RESTRAINED ASSAILANT,Other description
RESTRAINED BERRY,Other description
RESTRAINED BY ARMS,Other description
RESTRAINED BY HANDS,Other description
RESTRAINED BY PUSHING FEET IN ,Other description
RESTRAINED BY WAIST,Other description
RESTRAINED DELIVERY SYSTEMS,Other description
RESTRAINED FEET,Other description
RESTRAINED FLAILING LEGS,Other description
RESTRAINED FROM BEHIND,Other description
RESTRAINED FROM GETTING UP,Other description
RESTRAINED HANDS AND ARMS,Other description
RESTRAINED HANDS FROM STRIKING,Other description
RESTRAINED HEAD W/HAND,Other description
RESTRAINED HOLD,Other description
RESTRAINED IN UPPER BODY AREA ,Other description
RESTRAINED LEFT ARM,Other description
RESTRAINED LEFT LEG,Other description
RESTRAINED LEFT LEG ,Other description
RESTRAINED LEGS,Other description
RESTRAINED LEGS ,Other description
RESTRAINED LEGS AND ARMS,Other description
RESTRAINED LEGS AND FEET ,Other description
RESTRAINED LEGS TO BE STRAPPED,Other description
RESTRAINED LEGS UNTIL TRANPORT,Other description
RESTRAINED LEGS UNTIL WAGON AR,Other description
RESTRAINED LEGS W/SHACKLES,Other description
RESTRAINED LEGS WITH BELT,Other description
RESTRAINED LEGS WITH BELT ,Other description
RESTRAINED LEGS WITH HANDS,Other description
RESTRAINED LEGS.,Other description
RESTRAINED LEGS/ARMS,Other description
RESTRAINED LIMBS,Other description
RESTRAINED LIMBS /CARRY OFFEND,Other description
RESTRAINED LIMBS TO HOSP BED,Other description
"RESTRAINED LIMBS, CARRY OFF.",Other description
RESTRAINED OFF,Other description
RESTRAINED OFF. AND CALLED 911,Other description
RESTRAINED OFFENDER,Other description
RESTRAINED OFFENDER WITH FOREA,Other description
RESTRAINED OFFENDER'S HANDS ,Other description
RESTRAINED OFFENDERS ARMS,Other description
RESTRAINED OFFENDERS HEAD,Other description
RESTRAINED OFFENDERS LEGS,Other description
RESTRAINED ON BED,Other description
RESTRAINED ON CFD CHAIR STAIR ,Other description
RESTRAINED ON CFD STAIR CHAIR,Other description
RESTRAINED ON FLOOR,Other description
RESTRAINED ON GROUND,Other description
RESTRAINED ON THE FLOOR,Other description
RESTRAINED ON THE GROUND AREA,Other description
RESTRAINED RIGHT ARM,Other description
RESTRAINED SUB. FROM OFFENDER,Other description
RESTRAINED SUB. W/ASSISTANCE,Other description
RESTRAINED SUBJ ,Other description
RESTRAINED SUBJECT,Other description
RESTRAINED SUBJECT ,Other description
RESTRAINED SUBJECT ASSIST CFD,Other description
RESTRAINED SUBJECT ON FLOOR,Other description
RESTRAINED SUBJECT ON GROUND,Other description
RESTRAINED SUBJECT'S ARMS. ,Other description
RESTRAINED SUBJECT'S LEGS,Other description
RESTRAINED SUBJECTS ARM,Other description
RESTRAINED SUBJECTS FEET,Other description
RESTRAINED SUBJECTS FEET ,Other description
RESTRAINED SUBJECTS HEAD ,Other description
RESTRAINED SUBJECTS MOVEMENT,Other description
RESTRAINED THE ASSAILANT,Other description
RESTRAINED THE OFFENDER,Other description
RESTRAINED THE OFFENDER LEGS,Other description
RESTRAINED THE SUBJECT,Other description
RESTRAINED TO THE GROUND,Other description
RESTRAINED UPPER BODY,Other description
RESTRAINED USING ARMS AND LEGS,Other description
RESTRAINED USING HANDS,Other description
RESTRAINED USING HANDS/ARMS,Other description
RESTRAINED W/ARMS AROUND OFF.,Other description
RESTRAINED WITH ASSISTANCE,Other description
RESTRAINED WITH BODY WEIGHT,Other description
RESTRAINED WITH HANDS,Other description
RESTRAINED-BY PULLING BY ARMS,Other description
RESTRAINING,Other description
RESTRAINING ARMS,Other description
RESTRAINING ARMS AND UPPERBODY,Other description
RESTRAINING ARRESTEE ARM MOVEM,Other description
RESTRAINING LEGS/ TORSO,Other description
RESTRAINING TECHNIQUES,Other description
RESTRAINING/PINNING DOWN,Other description
RESTRAINT,Other description
RESTRAINT HOLDS,Other description
RESTRAINT OF ARMS AND TORSO,Other description
RESTRAINT SUBJECT'S LEGS,Other description
RESTRAINT WITH HANDS FROM FLEE,Other description
RESTRICTED LEG MOVEMENT,Other description
RETAINED BOTTLE FROM SUBJECT,Other description
RETREAT TO SAFE DISTANCE,Other description
RETREATED AFTER SECURING CELL ,Other description
RETREATED AND NOTIFIED SWAT,Other description
RETREATED AND SECURED DOOR,Other description
RETREATED FOR SHEILD AND COVER,Other description
RETREATED TO GAIN COVER,Other description
"RETREATED, AND GAINED CONTROL",Other description
RETRIEVED BOTTLE FROM OFFENDER,Other description
RETSRAINED THE SUBJECT,Other description
RIGHT HAND PUSH,Other description
RIGHT SIDE HIP THROW,Other description
RO ,Other description
RO IDENTIFIED W/CPD STAR,Other description
RO PARTNER HANDLED SUBJECT,Other description
RO UNABLE TO TAKE ACTION,Other description
ROLLED OFF ON SIDE USING LEGS,Other description
ROLLED OFF THE VEHICLE,Other description
ROLLED OFF THE VEHICLE   ,Other description
ROUTINELY ARRESTED/ASSIST POS,Other description
RT SIDE OF TORSO ,Other description
SAME USE OF FORCE AS RESISTER,Other description
SAT NO OFFENDERS BACK,Other description
SAT ON  HIM FOR CONTROL ,Other description
SAT ON HIM TO CONTROL MOVEMENT,Other description
SAT ON OFFENDER TO CONTROL,Other description
SAT ON OFFENDER TO RESTRAIN,Other description
SAT ON OFFENDERS LEGS,Other description
SAT ON TOP OF OFFENDER,Other description
SAT SUBJECT BACK ON THE BENCH.,Other description
SEARCHED,Other description
SECOND PROBE DISCHARGED,Taser
SECURE AND CONTROL LEGS,Other description
SECURE HOLDS/PULLING,Other description
SECURE SUBJECT WITH SELTBELT,Other description
SECURED AGAINST POLICE VEHICLE,Other description
SECURED AGAINST SQUAD CAR.,Other description
SECURED ARMS W/ FOOT,Other description
SECURED EXTREMITIES,Other description
SECURED FEET,Other description
SECURED HAND,Other description
SECURED IN VEHICLE,Other description
SECURED LEFT ARM,Other description
SECURED LEG TO GROUND,Other description
SECURED LEGS DURING ALTERCATIO,Other description
SECURED OFFENDER INSIDE CAR,Other description
SECURED OFFENDERS LEGS,Other description
SECURED OFFENDERS LEGS ,Other description
SECURED ON GROUND,Other description
SECURED PRISONER,Other description
SECURED RESISTER AGAINST WALL,Other description
SECURED SUBJECT AGAINST WALL,Other description
SECURED SUBJECT WITH FOREARM,Other description
SECURED TO A IMMOBLE OBJECT,Other description
SECURED TO HOSPITAL BED,Other description
SECURED W/ LEG IRONS,Other description
SECURING ARRESTEE,Other description
SEE  ADDITIONAL INFO,Other description
"SEE ""ADDITIONAL INFORMATION""",Other description
SEE ADD,Other description
SEE ADD INFO,Other description
SEE ADD INFO.,Other description
SEE ADD. INFO.,Other description
SEE ADD.INFORMATION,Other description
SEE ADDDITIONAL INFORMATION,Other description
SEE ADDITINOAL INFO,Other description
SEE ADDITIONAL,Other description
SEE ADDITIONAL ,Other description
SEE ADDITIONAL COMMENTS,Other description
SEE ADDITIONAL INFO,Other description
SEE ADDITIONAL INFO BELOW,Other description
SEE ADDITIONAL INFO BOX,Other description
SEE ADDITIONAL INFO BOX BELOW.,Other description
SEE ADDITIONAL INFO SECTION,Other description
SEE ADDITIONAL INFO- NARRATIVE,Other description
SEE ADDITIONAL INFO.,Other description
SEE ADDITIONAL INFO. (BELOW),Other description
SEE ADDITIONAL INFOMATION,Other description
SEE ADDITIONAL INFORMATION,Other description
SEE ADDITIONAL INFORMATION ,Other description
SEE ADDITIONAL INFORMATION BOX,Other description
SEE ADDITIONAL INFORMATION.,Other description
SEE ADDITIONAL INFROMATION,Other description
SEE ADDITONAL,Other description
SEE ADDITONAL INFO,Other description
SEE ADDITONAL INFO.,Other description
SEE ADDITONAL INFORMATION BOX,Other description
SEE ADDL,Other description
SEE ADDL INFO,Other description
SEE ADDL INFO.,Other description
SEE ADDL INFORMATION.,Other description
SEE ADDTIONAL INFORMATION,Other description
SEE ADDTITONAL INFORMATION,Other description
SEE ASSAILANT RESPONSE,Other description
SEE ASSALIANT BOX,Other description
SEE BELOW,Other description
SEE BELOW ADDITIONAL INFO,Other description
SEE BELOW BOX,Other description
SEE BELOW INFORMATION ,Other description
SEE BELOW NARRATIVE,Other description
SEE BOX,Other description
SEE BOX BELOW,Other description
SEE CASE REPORT,Other description
SEE COMMENTS,Other description
SEE COMMENTS BELOW,Other description
SEE INFO CASE REPORT HT554648,Other description
SEE LAZAUSKAS TRR,Other description
SEE NARATIVE,Other description
SEE NARR,Other description
SEE NARR ADDTL INFO,Other description
SEE NARRATIVE,Other description
SEE NARRATIVE BELOW,Other description
SEE NARRATIVE OF CASE REPORT,Other description
SEE NARRATIVE OF REPORT,Other description
SEE P.A LANE 5905 TRR  ,Other description
SEE PARTNER'S TRR,Other description
SEE PREVIOS RESPONSES,Other description
SEE REMARKS,Other description
SEE WC PORTION OF REPORT,Other description
SEEKED COVER,Other description
SEPARATED COMBATANTS,Other description
SEPARATED FROM INVOLVED PO,Other description
SEPERATION OF OFFENDER& VICTIM,Other description
SHACKELED ANKLES,Other description
SHACKLED  OFFENDER'S FEET.,Other description
SHACKLED BOTH LEGS ,Other description
SHACKLED WITH LEG RESTRAINTS,Other description
SHATTERED CAR WINDOW,Other description
SHE FELL TO GROUND,Other description
SHIELD USED TO PUSH THROUGH,Other description
SHIELDED MOUTH WITH HAND,Other description
SHIELDED VICTIM,Other description
SHOOK OFFENDER OFF.,Other description
SHORT CHASE/CAUGHT,Other description
SHORT FOOT PURSUIT,Other description
SHOT 2 CHARGING PITBULL DOGS,Firearm
"SHOT AT DOG, WOUNDED",Firearm
SHOULDER BUMPED SUBJECT,Other description
SHOULDER HOLD,Other description
SHOUT FOR SUBJECT TO STOP,Other description
SHOVE,Other description
SHOVE WITH TWO HANDS,Other description
SHOVED,Other description
SHOVED ,Other description
SHOVED AGAINST SUPPORT WALL ,Other description
SHOVED ARRESTEE BACKWARD,Other description
SHOVED ASSAILANT AWAY,Other description
SHOVED ASSAILANT BACK,Other description
SHOVED ASSAILANT BACK/AWAY ,Other description
SHOVED ASSAILANT; ARRESTED,Other description
SHOVED AWAY TO CREATE DISTANCE,Other description
SHOVED BACKWARDS WITH TWO HAND,Other description
SHOVED OFFENDER AWAY,Other description
SHOVED OFFENDER BACK FROM HIM,Other description
SHOVED ONTO HOOD OF VEHICLE,Other description
SHOVED OUT OF WAY,Other description
SHOVED SUBJECT,Other description
SHOVED SUBJECT ,Other description
SHOVED TO GROUND,Other description
SHOVING,Other description
SHOWING SUBJECT POLICE ID CARD,Other description
SHUT SQUAD DOOR,Other description
SHUT THE INTERVIEW ROOM DOOR,Other description
SHUT THE VEHICLE DOOR,Other description
SIDE STEP,Other description
SIDE STEP TO AVOID CONTACT,Other description
SIDE STEPPED OFFENDER,Other description
SIDESTEPPED,Other description
SIDESTEPPED TO AVOID CONTACT,Other description
SIDESTEPPED VEHICLE,Other description
SIGNAL WITH FLASHLIGHT,Other description
SIGNALED ENFORCEMENT CAR,Other description
SINGLE LEG STRIKE TO THIGH,Knee strike
SINGLE PUSH,Other description
SLAP TO FACE,Other description
SLIDE TACKLE,Other description
SLOWED VEHICLE DOWN,Other description
SMALL JOINT MANIPULATION,Other description
SMITH AND WESSON 9MM,Firearm
SOUGHT COVER,Other description
SOUGHT COVER DEPLOYED SWAT,Other description
SPRAYED TO GAIN CONTROL ,OC/Chemical weapon
SQUAD CAR #9584,Other description
SQUADROL TRANSPORT,Other description
SRIKES TO THE BODY ,Other description
STABILIZATION OF OFFENDER,Other description
STABILIZE BY HOLDING SUBJECT,Other description
STABILIZED HEAD ,Other description
STABILIZED WAITING FOR BACKUP,Other description
STARTED FIGHTING ,Other description
STATED OFFICE AND CALLED 911,Verbal direction/control techniques
STEP AWAY FROM MOVING VEHICLE,Member presence
STEP BACK ,Member presence
STEP BACK CALLED FOR ASSISTANC,Member presence
STEPPED AWAY,Member presence
STEPPED BACK,Member presence
STEPPED BACK ,Member presence
STEPPED BACK AWAY FROM ATTACK,Member presence
STEPPED BACK FROM VEHICLE,Member presence
STEPPED BACK TO AVOID SUBJECT,Member presence
"STEPPED BACK, ",Member presence
STEPPED ON  HAND,Member presence
STEPPED ON OFFENDER HAND,Member presence
STEPPED ON SUBJECT DURING FALL,Member presence
STEPPED OUT OF VEHICLES PATH,Member presence
STEPPED OUT OF WAY,Member presence
STEPPING AWAY,Member presence
STERN PUSH,Other description
STIFF ARM,Other description
STIFF ARM DISTANCING,Other description
STIFF ARM FOR DISTANCE,Other description
STIFF ARM PUSH,Other description
STIFF ARM TO CREATE DISTANCE,Other description
STIFF ARM TO PLACE OFF. IN CAR,Other description
STIFF ARM TO UPPER CHEST,Other description
STIFF ARMED,Other description
STIFFARM ,Other description
STIFFARM TO CHEST,Other description
STIFFENED UP,Other description
STOOD IN FRONT OF VEHICLE,Other description
STOOD ON LEGS,Other description
STOOD ON SUBJECTS LEGS,Other description
STOP MOVEMENT,Other description
STOP RESISTING,Other description
STOPPED FROM PULLING AWAY,Other description
STOPPED IN FRONT OF OFFENDER,Other description
STRADDLED AT WAIST AREA,Other description
STRAIGHT ARM,Other description
STRAIGHT ARM PUSH,Other description
STRAIGHT ARM PUSHES,Other description
STRENGTHENED GRIP,Other description
STRIKE TO ARM AND LEG AREA,Other description
STRIKE TO FACE,Other description
STRIKE TO HAND,Other description
STRIKE TO THE SHOULDER,Other description
STRIKE W/RESISTERS SHOE,Baton
STRIKE WITH RADIO,Baton
STRIKES LEGS/ DELIVERY SYSTEMS,Other description
STRIKES TO LEG,Other description
STRIKES TO LEG AREA,Other description
STRIKES TO LOWER BODY,Other description
STRIKES TO THIGH,Other description
STRIKING VEHICLE,Other description
STRONG HOLD FOR ESCORT,Other description
STRUCK AREA OF LEFT ARM,Other description
"STRUCK ARMS, LEGS, STOMACH",Other description
STRUCK ASSAILANT WITH RADIO,Baton
STRUCK ASSAILANT WITH VEHICLE,Other description
STRUCK HAND TO RELEASE GRIP,Other description
STRUCK IN CHEST AND SIDE,Other description
STRUCK LEFT ARM,Other description
STRUCK LEG TO PREVENT INJ. A/O,Other description
STRUCK OFFENDER TO ARREST,Other description
STRUCK OFFENDER TWICE ,Other description
STRUCK OFFENDER WITH SQUAD CAR,Other description
STRUCK ON FOREARM,Other description
STRUCK R/O WITH VEHICLE,Other description
STRUCK SUBJ. WITH FLASHLIGHT ,Baton
STRUCK SUBJECT IN LEGS ,Other description
STRUCK SUBJECT WITH FLASHLIGHT,Baton
STRUCK SUBJECTS HAND WITH FOOT,Other description
STRUCK W/STINGER FLASHLIGHT,Baton
STRUCK WITH CAR,Other description
STRUCK WITH DUTY WEAPON.      ,Baton
STRUCK WITH HANDHELD RADIO,Baton
STRUCK WITH HANDS,Other description
STRUCK WITH OPEN AND CLSD HAND,Other description
STRUCK WITH POLICE RADIO,Baton
STRUCK WITH RADIO,Baton
STRUCK WITH SIDEARM,Other description
STRUCK WITH WEAPON,Baton
STRUGGLE,Other description
STRUGGLE TO RETAIN WEAPON,Other description
STRUGGLE TO THE GROUND,Other description
STRUGGLE WITH SUBJECT,Other description
STRUGGLED AND RESTRAINED,Other description
STRUGGLED AND RESTRAINED HIM,Other description
STRUGGLED ATTEMPTING TO ARREST,Other description
STRUGGLED DOWN THE STAIRS,Other description
STRUGGLED TO GET OFF. ARM,Other description
STRUGGLED TO REGAIN CONTROL.,Other description
STRUGGLED W/SUBJECT,Other description
STRUGGLED WITH AND RESTRAINED ,Other description
STUCK OUT ARM TOLD TO STOP,Other description
SUB LEG SHACKLED,Other description
SUBDUE OFFENDER,Other description
SUBDUE PHYSICALLY TO ARREST,Other description
SUBDUED OFFENDER,Other description
SUBDUED SUBJECT,Other description
SUBJ PLACED UNDER ARREST,Other description
SUBJECT ALREADY IN CELL ,Other description
SUBJECT ALREADY RESTRAINED,Other description
SUBJECT ALREADY UNDER CONTROL,Other description
SUBJECT ARRESTED,Other description
SUBJECT ARRESTED W/O INCIDENT,Other description
SUBJECT ATTEMP CHARGE OFFICERS,Other description
SUBJECT CARRIED FROM SCENE,Other description
SUBJECT CARRIED TO VEHICLE,Other description
SUBJECT CARRIED TO WAGON,Other description
SUBJECT FELL TO GROUND,Other description
"SUBJECT FELL, R/O FELL ON TOP",Other description
SUBJECT FLED ON FOOT,Other description
SUBJECT FORCED TO GROUND,Other description
SUBJECT FORCEFULLY REMOVED,Other description
SUBJECT FORCEFULLY REMOVED ,Other description
SUBJECT HAD TO BE TAKEN DOWN,Other description
SUBJECT HELD BY P.O,Other description
SUBJECT HELD BY SHIRT COLLAR,Other description
SUBJECT HELD DOWN,Other description
SUBJECT LOWERED.,Other description
SUBJECT MADE A SUDDEN TO MOVE ,Other description
SUBJECT PHYSICALLY CARRIED ,Other description
SUBJECT PLACE UNDER ARREST.,Other description
SUBJECT PLACED AGAINST WALL,Other description
SUBJECT PLACED IN CUSTODY,Other description
SUBJECT PLACED IN CUSTODY ,Other description
SUBJECT PLACED INTO CUSTODY,Other description
SUBJECT PULLED INTO WAGON ,Other description
SUBJECT RAN FROM HER RES.,Other description
SUBJECT RAN INTO SQUAD ,Other description
SUBJECT REMOVED FIRST2 PRONGS,Taser
SUBJECT RESTRAINED,Other description
SUBJECT RESTRAINED BY ASSISTS,Other description
SUBJECT STRUCK BY STRAY ROUND,Other description
SUBJECT SURRENDERED TO 2362A,Other description
SUBJECT TACKLED,Other description
SUBJECT TAKEN DOWN IN GRASS,Other description
SUBJECT TAKEN INTO CUSTODY,Other description
SUBJECT TAKEN INTO CUSTODY ,Other description
SUBJECT TAKEN TO GROUND,Other description
SUBJECT TAKEN TO GROUND ,Other description
SUBJECT WAS ALREADY IN CUSTODY,Other description
SUBJECT WAS IN CUSTODY,Other description
SUBJECT WAS LATER ARRESTED,Other description
SUBJECT WAS NOT STRUCK,Other description
SUBJECT WAS PHYSICALLY CARRIED,Other description
SUBJECT WAS PLACED INTO CUSTOD,Other description
SUBJECT WAS PUSHED AGAINSTWALL,Other description
SUBJECT WAS TACKLED IN GRASS,Other description
SUBJECT WAS TACKLED TO GROUND,Other description
SUBJECT WAS TAKEN TO THE GROUN,Other description
SUBJECT WAS TASEED,Taser
SUBMITTED TO ARREST,Other description
SUCCESSFULLY SECURED W/O FORCE,Other description
SUDUED OFFENDER,Other description
SUMMON SUPERVISOR,Verbal direction/control techniques
SUMMONED SUPERVISOR,Verbal direction/control techniques
SWEPT OFFENDERS LEGS OUT,Other description
SWEPT THE LEGS,Other description
SWEPT WITH FOOT,Other description
SWIPED RIGHT ARM,Other description
SWIRVED OUT OF WAY,Other description
T03-155990,Taser
T03-155995,Taser
"T03-156048, T03-156980",Taser
T04-570374 - CARTRIDGE,Taser
T09-2311213,Taser
TACKELED,Take down
TACKELED TO GROUND,Take down
TACKLE,Take down
TACKLE ,Take down
TACKLE OFFENDER,Take down
TACKLE TO GROUND,Take down
TACKLED,Take down
TACKLED ,Take down
TACKLED / HELD OFFENDER,Take down
TACKLED AND WRESTLED TO GROUND,Take down
TACKLED ASSAILANT,Take down
TACKLED BY COLLAR/HOOD ,Take down
TACKLED FLEEING ARRESTEE,Take down
TACKLED FLEEING OFFENDER,Take down
TACKLED FROM BEHIND,Take down
TACKLED INTO CONCRETE WALL,Take down
TACKLED OFFENDER,Take down
TACKLED OFFENDER ,Take down
TACKLED OFFENDER AS HE FLED,Take down
TACKLED OFFENDER DURING CHASE,Take down
TACKLED OFFENDER FROM BEHIND,Take down
TACKLED OFFENDER TO GROUND,Take down
TACKLED OFFENDER TO THE GROUND,Take down
TACKLED SUBJECT,Take down
TACKLED SUBJECT ,Take down
"TACKLED SUBJECT & EMER, HNDCUF",Take down
TACKLED SUBJECT AT THE LEGS,Take down
TACKLED SUBJECT TO GROUND,Take down
TACKLED SUBJECT TO THE GROUND,Take down
TACKLED SUBJECT TWICE,Take down
TACKLED THE OFFENDER,Take down
TACKLED THE RESISTER,Take down
TACKLED TO GROUND,Take down
TAKE COVER,Other description
TAKE TO GROUND,Take down
TAKE TO THE GROUND,Take down
TAKEN DOWN AND RESTRAINED,Take down
TAKEN DOWN FOR OFFICER SAFETY,Take down
TAKEN DOWN TO CONTROL BODY,Take down
TAKEN DOWN TO REGAIN CONTROL,Take down
TAKEN DOWN WITH CITIZENS,Take down
TAKEN INTO CUSTODY,Other description
TAKEN INTO CUSTODY BY OTHERS ,Other description
TAKEN INTO CUSTODY IN 012,Other description
TAKEN INTO CUSTODY NO FORCE,Other description
TAKEN INTO CUSTODY W/O INCIDEN,Other description
TAKEN OUT OF VEHICLE,Other description
TAKEN TO GROUND,Take down
TAKEN TO GROUND STOP FLIGHT,Take down
TALKED OFFENDER TO THE GROUND,Take down
TEMPORARILY INCAPACITATED,Other description
THE BUTT OF R/O WEAPON,Other description
THREAT OF DEADLY FORCE,Other description
THREW & HELD TO THE GROUND,Take down
THREW OFFENDER TO GROUND,Take down
THROW TO GROUND,Take down
THUMB HOLD,Other description
"TIGHTEN GRIP, PULL BACK.",Other description
TO  APPREHEND OFFENDER,Other description
TO BREAK WINDOW,Other description
TO CREATE DISTANCE,Other description
TO DISARM OFFENDER,Other description
TO LEGS,Other description
TO LOWER BACK AREA OF OFFENDER,Other description
TO MIDSECTION,Other description
TO OFFENDERS ARM,Other description
TO REAR LEFT SIDE OF THE BODY,Other description
TO RIGHT SIDE OF CHEST AREA ,Other description
TO STOP ANIMAL (PIT BULL),Canine
TO STOP OFFENDER FROM BITING,Canine
TO SUBJECT BACK,Other description
TO THE ASSAILANTS CHEST AREA,Other description
TO THE BODY,Other description
TO THE LEFT SIDE OF THE HEAD,Other description
TOLD HER TO STOP AND STEP AWAY,Other description
TOLD OFFENDER TO STOP,Other description
TOLD TO QUIT RESISTING,Other description
TOOK A DEFENSIVE STANCE,Other description
TOOK BAR AWAY FROM SUBJECT,Other description
TOOK CELL PHONE PICTURE,Other description
TOOK CONTROL OF OFFENDERS HEAD,Other description
TOOK COVER,Other description
TOOK COVER / HBT,Other description
TOOK COVER AND DREW WEAPON,Other description
TOOK COVER AND DREW WEAPON ,Other description
TOOK COVER AND PURSUED,Other description
TOOK COVER AND PURSUED SUBJECT,Other description
TOOK COVER POSITION,Other description
"TOOK COVER, NOTIFIED ZONE.",Other description
TOOK COVER/HBT,Other description
TOOK EVASIVE ACTION,Other description
TOOK EVASIVE ACTION + COVER,Other description
TOOK EVASIVE ACTION +COVER,Other description
TOOK HAMMER AWAY,Other description
TOOK HOLD OF ANKLES,Other description
TOOK HOLD OF SHIRT,Other description
TOOK HOLD OF SUBJECT'S ARM,Other description
TOOK OFF TO GROUND,Take down
TOOK OFFENDER DOWN TO PAVEMENT,Take down
TOOK OFFENDER INTO CUSTODY,Other description
TOOK OFFENDER TO GROUND,Take down
TOOK OUT SUPPORT LEGS,Other description
TOOK POSITION OF SAFETY.,Other description
TOOK SUBJECT DOWN TO CONTROL,Take down
TOOK SUBJECT DOWN TO GROUND ,Take down
TOOK SUBJECT INTO CUSTODY,Other description
TOOK SUBJECT TO THE GROUND,Take down
TOOK SWING AT VICTIM,Other description
TORSO RESTRAINED ,Other description
TRAFFIC PURSUIT,Other description
TRANSFERED TO WAGON 771,Other description
TRANSFERRED TO SQUADROL,Other description
TRANSPORT BY SQUAD ROLL,Member presence
TRANSPORTED BY SQUADROL BT 471,Member presence
TRANSPORTED IN SQUADROL,Member presence
TRANSPORTED SUBJECT TO THE HOS,Member presence
TRIED PULLING THEM APART,Other description
TRIED TO AVOID STRIKES,Other description
TRIED TO CONTROL HER HANDS,Other description
TRIED TO CONTROL OFFENDER,Other description
TRIED TO GET OFF BACK,Other description
TRIED TO GET SUBJECT OFF BACK,Other description
TRIED TO GET SUBJECT OFF BACK.,Other description
TRIED TO GRAB,Other description
TRIED TO GRAB A HOLD OF  ARMS,Other description
TRIED TO HOLD DOWN,Take down
TRIED TO HOLD FOR CONTROL,Other description
TRIED TO HOLD SUBJECT ON CAR,Other description
TRIED TO LIFT UP ,Other description
TRIED TO MOVE OUT OF PATH,Other description
TRIED TO PHYSICALLY GRAB OFF.,Other description
TRIED TO PREVENT OFF ESCAPE,Other description
TRIED TO RESTRAIN,Other description
TRIED TO RESTRAIN SUBJECT,Other description
TRIED TO RETAIN WEAPON,Other description
TRIGGER PULL DIDNT DEPLOY,Other description
TRIP WITH FOOT,Other description
TRIPPED,Other description
TRIPPED FLEEING SUBJECT,Other description
TRIPPED WITH LEG,Other description
TRIPPING,Other description
TRYING TO CLOSE VAN DOOR,Other description
TSR#X00570687 CRTG#C31012R8T,Taser
TURN AWAY,Other description
TURNED HER AROUND TO GAIN CONT,Other description
TURNED OFF'S BODY AWAY FROM RO,Other description
TURNED OFFD. AWAY FROM R/O,Other description
TURNED OFFENDERS BODY OVER,Other description
TURNING TO RELEASE OFF. GRIP,Other description
TWO CARTRIDGES DISCHARGED,Taser
TWO HAND HOLD OF LEGS,Other description
TWO HAND PUSH,Other description
TWO HAND PUSH TO CHEST,Other description
TWO HAND SHOVE,Other description
TWO HANDED CONTROL,Other description
TWO HANDED PUSH/SHOVE,Other description
TWO HANDED SHOVE,Other description
TWO MAN CARRY,Other description
U/C STATUS KEPT/SURV. MADE AR.,Other description
UNABLE,Other description
UNABLE TO CONTACT SUBJECT,Other description
UNABLE TO PULL OFF. OFF VICT.,Other description
UNABLE TO RESPOND,Other description
UNABLE TO RESPOND/PINNED DOWN ,Other description
"UNABLE, SECURING ARRESTEE",Other description
UNHOLSTER DUTY WEAPON,Other description
UNHOLSTER WEAPON,Other description
